,Number of People,Number of Items,Optimal P-Envy,Wall Clock Time
396,14.0,1.0,1.0,0.009723901748657227
397,14.0,1.0,1.0,0.00823974609375
398,14.0,1.0,1.0,0.009173154830932617
399,14.0,1.0,1.0,0.009085893630981445
400,14.0,1.0,1.0,0.008980989456176758
401,14.0,1.0,1.0,0.010087013244628906
402,14.0,1.0,1.0,0.008506298065185547
403,14.0,1.0,1.0,0.009911060333251953
404,14.0,1.0,1.0,0.010022163391113281
405,14.0,1.0,1.0,0.009215831756591797
406,14.0,1.0,1.0,0.009994983673095703
407,14.0,1.0,1.0,0.008491039276123047
408,14.0,1.0,1.0,0.009837150573730469
409,14.0,1.0,1.0,0.009670257568359375
410,14.0,1.0,1.0,0.008416175842285156
411,14.0,1.0,1.0,0.010065793991088867
412,14.0,1.0,1.0,0.00934290885925293
413,14.0,1.0,1.0,0.010167121887207031
414,14.0,1.0,1.0,0.008333921432495117
415,14.0,1.0,1.0,0.009338855743408203
416,14.0,1.0,1.0,0.010378122329711914
417,14.0,1.0,1.0,0.00878000259399414
418,14.0,1.0,1.0,0.009648799896240234
419,14.0,1.0,1.0,0.008950948715209961
420,15.0,1.0,1.0,0.009948015213012695
421,15.0,1.0,1.0,0.010051250457763672
422,15.0,1.0,1.0,0.009508848190307617
423,15.0,1.0,1.0,0.010114192962646484
424,15.0,1.0,1.0,0.008493185043334961
425,15.0,1.0,1.0,0.008526086807250977
426,15.0,1.0,1.0,0.009827136993408203
427,15.0,1.0,1.0,0.00919198989868164
428,15.0,1.0,1.0,0.009385347366333008
429,15.0,1.0,1.0,0.009109973907470703
430,15.0,1.0,1.0,0.009604930877685547
431,15.0,1.0,1.0,0.009514808654785156
432,15.0,1.0,1.0,0.009068965911865234
433,15.0,1.0,1.0,0.00947713851928711
434,15.0,1.0,1.0,0.010024785995483398
435,15.0,1.0,1.0,0.00922703742980957
436,15.0,1.0,1.0,0.009551048278808594
437,15.0,1.0,1.0,0.009209156036376953
438,15.0,1.0,1.0,0.010312318801879883
439,15.0,1.0,1.0,0.008495092391967773
440,15.0,1.0,1.0,0.009740114212036133
441,15.0,1.0,1.0,0.010069847106933594
442,15.0,1.0,1.0,0.009325027465820312
443,15.0,1.0,1.0,0.009773731231689453
